File                                    ,Title, Units, Frequency, Seasonal Adjustment, Last Updated,Category
IPG3111S,Industrial Production: Nondurable Goods: Animal food, Index 2012=100, M, SA, 2018-12-14,out
IPG3116S,Industrial Production: Nondurable Goods: Animal slaughtering and processing, Index 2012=100, M, SA, 2018-12-14,out
IPG315S,Industrial Production: Nondurable Goods: Apparel, Index 2012=100, M, SA, 2018-12-14,out
IPN32522S,Industrial Production: Nondurable Goods: Artificial and synthetic fibers and filaments, Index 2012=100, M, SA, 2018-12-14,out
IPN32411GS,Industrial Production: Nondurable Goods: Automotive gasoline, Index 2012=100, M, SA, 2018-12-14,out
IPN32411AS,Industrial Production: Nondurable Goods: Aviation fuel and kerosene, Index 2012=100, M, SA, 2018-12-14,out
IPN3118S,Industrial Production: Nondurable Goods: Bakeries and tortilla, Index 2012=100, M, SA, 2018-12-14,out
IPG3251S,Industrial Production: Nondurable Goods: Basic chemical, Index 2012=100, M, SA, 2018-12-14,out
IPG32512T8S,Industrial Production: Nondurable Goods: Basic inorganic chemicals, Index 2012=100, M, SA, 2018-12-14,out
IPN311611T3BS,Industrial Production: Nondurable Goods: Beef, Index 2012=100, M, SA, 2018-12-14,out
IPG3121S,Industrial Production: Nondurable Goods: Beverage, Index 2012=100, M, SA, 2018-12-14,out
IPG312S,Industrial Production: Nondurable Goods: Beverage and tobacco product, Index 2012=100, M, SA, 2018-12-14,out
IPN31212S,Industrial Production: Nondurable Goods: Breweries, Index 2012=100, M, SA, 2018-12-14,out
IPG31411S,Industrial Production: Nondurable Goods: Carpet and rug mills, Index 2012=100, M, SA, 2018-12-14,out
IPN311513S,Industrial Production: Nondurable Goods: Cheese, Index 2012=100, M, SA, 2018-12-14,out
IPB51213S,Industrial Production: Nondurable Goods: Chemical products, Index 2012=100, M, SA, 2018-12-14,out
IPB51212S,Industrial Production: Nondurable Goods: Clothing, Index 2012=100, M, SA, 2018-12-14,out
IPG31192S,Industrial Production: Nondurable Goods: Coffee and tea, Index 2012=100, M, SA, 2018-12-14,out
IPG3222S,Industrial Production: Nondurable Goods: Converted paper product, Index 2012=100, M, SA, 2018-12-14,out
IPN311512S,Industrial Production: Nondurable Goods: Creamery butter, Index 2012=100, M, SA, 2018-12-14,out
IPG31151S,Industrial Production: Nondurable Goods: Dairy product, Index 2012=100, M, SA, 2018-12-14,out
IPG3115S,Industrial Production: Nondurable Goods: Dairy product, Index 2012=100, M, SA, 2018-12-14,out
IPN32411DS,Industrial Production: Nondurable Goods: Distillate fuel oil, Index 2012=100, M, SA, 2018-12-14,out
IPN311514S,"Industrial Production: Nondurable Goods: Dry, condensed, and evaporated dairy product", Index 2012=100, M, SA, 2018-12-14,out
IPG3132S,Industrial Production: Nondurable Goods: Fabric mills, Index 2012=100, M, SA, 2018-12-14,out
IPN3131S,"Industrial Production: Nondurable Goods: Fiber, yarn, and thread mills", Index 2012=100, M, SA, 2016-03-16,out
IPN311511S,Industrial Production: Nondurable Goods: Fluid milk, Index 2012=100, M, SA, 2018-12-14,out
IPG311S,Industrial Production: Nondurable Goods: Food, Index 2012=100, M, SA, 2018-12-14,out
IPB51211S,Industrial Production: Nondurable Goods: Foods and tobacco, Index 2012=100, M, SA, 2018-12-14,out
IPG3114S,Industrial Production: Nondurable Goods: Fruit and vegetable preserving and specialty food, Index 2012=100, M, SA, 2018-12-14,out
IPG3112S,Industrial Production: Nondurable Goods: Grain and oilseed milling, Index 2012=100, M, SA, 2018-12-14,out
IPN31152S,Industrial Production: Nondurable Goods: Ice cream and frozen dessert, Index 2012=100, M, SA, 2018-12-14,out
IPG32512S,Industrial Production: Nondurable Goods: Industrial gas, Index 2012=100, M, SA, 2018-12-14,out
IPG316S,Industrial Production: Nondurable Goods: Leather and allied product, Index 2012=100, M, SA, 2018-12-14,out
IPN311611T3ZS,Industrial Production: Nondurable Goods: Miscellaneous meats, Index 2012=100, M, SA, 2018-12-14,out
IPG51111S,Industrial Production: Nondurable Goods: Newspaper publishers, Index 2012=100, M, SA, 2018-12-14,out
IPG5111S,"Industrial Production: Nondurable Goods: Newspaper, periodical, book, and directory publishers", Index 2012=100, M, SA, 2018-12-14,out
IPG32511A9S,Industrial Production: Nondurable Goods: Organic chemicals, Index 2012=100, M, SA, 2018-12-14,out
IPG32518S,Industrial Production: Nondurable Goods: Other basic inorganic chemical, Index 2012=100, M, SA, 2018-12-14,out
IPG32223A9S,Industrial Production: Nondurable Goods: Other converted paper products, Index 2012=100, M, SA, 2018-12-14,out
IPG3119S,Industrial Production: Nondurable Goods: Other food, Index 2012=100, M, SA, 2018-12-14,out
IPG325188ZS,Industrial Production: Nondurable Goods: Other inorganic chemicals (DISCONTINUED), Index 2007=100, M, SA, 2015-07-15,out
IPG32411XS,Industrial Production: Nondurable Goods: Other refinery output, Index 2012=100, M, SA, 2018-12-14,out
IPG3149S,Industrial Production: Nondurable Goods: Other textile product mills, Index 2012=100, M, SA, 2018-12-14,out
IPG32551S,Industrial Production: Nondurable Goods: Paint and coating, Index 2012=100, M, SA, 2018-12-14,out
IPG3255S,"Industrial Production: Nondurable Goods: Paint, coating, and adhesive", Index 2012=100, M, SA, 2018-12-14,out
IPG3255A9S,Industrial Production: Nondurable Goods: Paints and other chemical products, Index 2012=100, M, SA, 2018-12-14,out
IPG3255T9S,"Industrial Production: Nondurable Goods: Paints, soaps and toiletries, and other chemical products", Index 2012=100, M, SA, 2018-12-14,out
IPN322121S,Industrial Production: Nondurable Goods: Paper, Index 2012=100, M, SA, 2018-12-14,out
IPG32222S,Industrial Production: Nondurable Goods: Paper bag and coated and treated paper, Index 2012=100, M, SA, 2018-12-14,out
IPG32212S,Industrial Production: Nondurable Goods: Paper mills, Index 2012=100, M, SA, 2018-12-14,out
IPB51214S,Industrial Production: Nondurable Goods: Paper products, Index 2012=100, M, SA, 2018-12-14,out
IPN32221S,Industrial Production: Nondurable Goods: Paperboard container, Index 2012=100, M, SA, 2018-12-14,out
IPN32213S,Industrial Production: Nondurable Goods: Paperboard mills, Index 2012=100, M, SA, 2018-12-14,out
IPN32412A9S,"Industrial Production: Nondurable Goods: Paving, roofing, and other petroleum and coal products", Index 2012=100, M, SA, 2018-12-14,out
IPG51112T9S,"Industrial Production: Nondurable Goods: Periodical, book, and other publishers", Index 2012=100, M, SA, 2018-12-14,out
IPG3253S,"Industrial Production: Nondurable Goods: Pesticide, fertilizer, and other agricultural chemical", Index 2012=100, M, SA, 2018-12-14,out
IPG32411S,Industrial Production: Nondurable Goods: Petroleum refineries, Index 2012=100, M, SA, 2018-12-14,out
IPG3254S,Industrial Production: Nondurable Goods: Pharmaceutical and medicine, Index 2012=100, M, SA, 2018-12-14,out
IPN325211S,Industrial Production: Nondurable Goods: Plastics material and resin, Index 2012=100, M, SA, 2018-12-14,out
IPG3261S,Industrial Production: Nondurable Goods: Plastics product, Index 2012=100, M, SA, 2018-12-14,out
IPN311611T3PS,Industrial Production: Nondurable Goods: Pork, Index 2012=100, M, SA, 2018-12-14,out
IPN311615S,Industrial Production: Nondurable Goods: Poultry processing, Index 2012=100, M, SA, 2018-12-14,out
IPN32211S,Industrial Production: Nondurable Goods: Pulp mills, Index 2012=100, M, SA, 2018-12-14,out
IPG3221S,"Industrial Production: Nondurable Goods: Pulp, paper, and paperboard mills", Index 2012=100, M, SA, 2018-12-14,out
IPN32411RS,Industrial Production: Nondurable Goods: Residual fuel oil, Index 2012=100, M, SA, 2018-12-14,out
IPG32521S,Industrial Production: Nondurable Goods: Resin and synthetic rubber, Index 2012=100, M, SA, 2018-12-14,out
IPG3252S,"Industrial Production: Nondurable Goods: Resin, synthetic rubber, and artificial and synthetic fibers and filaments", Index 2012=100, M, SA, 2018-12-14,out
IPG3262S,Industrial Production: Nondurable Goods: Rubber product, Index 2012=100, M, SA, 2018-12-14,out
IPG32622A9S,Industrial Production: Nondurable Goods: Rubber products excluding tires, Index 2012=100, M, SA, 2018-12-14,out
IPG3256S,"Industrial Production: Nondurable Goods: Soap, cleaning compound, and toilet preparation", Index 2012=100, M, SA, 2018-12-14,out
IPN31211S,Industrial Production: Nondurable Goods: Soft drink and ice, Index 2012=100, M, SA, 2018-12-14,out
IPG3113S,Industrial Production: Nondurable Goods: Sugar and confectionery product, Index 2012=100, M, SA, 2018-12-14,out
IPG32513S,Industrial Production: Nondurable Goods: Synthetic dye and pigment, Index 2012=100, M, SA, 2018-12-14,out
IPG325212S,Industrial Production: Nondurable Goods: Synthetic rubber, Index 2012=100, M, SA, 2018-12-14,out
IPG3133S,Industrial Production: Nondurable Goods: Textile and fabric finishing and fabric coating mills, Index 2012=100, M, SA, 2018-12-14,out
IPG3141S,Industrial Production: Nondurable Goods: Textile furnishings mills, Index 2012=100, M, SA, 2018-12-14,out
IPG313S,Industrial Production: Nondurable Goods: Textile mills, Index 2012=100, M, SA, 2018-12-14,out
IPG314S,Industrial Production: Nondurable Goods: Textile product mills, Index 2012=100, M, SA, 2018-12-14,out
IPG32621S,Industrial Production: Nondurable Goods: Tire, Index 2012=100, M, SA, 2018-12-14,out
IPG3122S,Industrial Production: Nondurable Goods: Tobacco, Index 2012=100, M, SA, 2018-12-14,out
IPNMAN,Industrial Production: Nondurable Manufacturing (NAICS), Index 2012=100, M, SA, 2018-12-14,out
IPG315A6S,Industrial Production: Nondurable manufacturing: Apparel and leather goods, Index 2012=100, M, SA, 2018-12-14,out
IPG325S,Industrial Production: Nondurable manufacturing: Chemical, Index 2012=100, M, SA, 2018-12-14,out
IPG311A2S,"Industrial Production: Nondurable manufacturing: Food, beverage, and tobacco", Index 2012=100, M, SA, 2018-12-14,out
IPG322S,Industrial Production: Nondurable manufacturing: Paper, Index 2012=100, M, SA, 2018-12-14,out
IPG324S,Industrial Production: Nondurable manufacturing: Petroleum and coal products, Index 2012=100, M, SA, 2018-12-14,out
IPG326S,Industrial Production: Nondurable manufacturing: Plastics and rubber products, Index 2012=100, M, SA, 2018-12-14,out
IPG323S,Industrial Production: Nondurable manufacturing: Printing and related support activities, Index 2012=100, M, SA, 2018-12-14,out
