File                                    ,Title, Units, Frequency, Seasonal Adjustment, Last Updated,Category
CPIMEDSL,Consumer Price Index for All Urban Consumers: Medical Care, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SAM1,Consumer Price Index for All Urban Consumers: Medical care commodities, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SAM2,Consumer Price Index for All Urban Consumers: Medical care services, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SAA1,Consumer Price Index for All Urban Consumers: Men's and boys' apparel, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SEGD,Consumer Price Index for All Urban Consumers: Miscellaneous personal services, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SETB,Consumer Price Index for All Urban Consumers: Motor fuel, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SETD,Consumer Price Index for All Urban Consumers: Motor vehicle maintenance and repair, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SETC,Consumer Price Index for All Urban Consumers: Motor vehicle parts and equipment, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SERE03,Consumer Price Index for All Urban Consumers: Music instruments and accessories, Index Dec 1997=100, M, SA, 2019-01-11,Pri
CUSR0000SETA,Consumer Price Index for All Urban Consumers: New and used motor vehicles, Index Dec 1997=100, M, SA, 2019-01-11,Pri
CUSR0000SETA01,Consumer Price Index for All Urban Consumers: New vehicles, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SAF114,Consumer Price Index for All Urban Consumers: Nonalcoholic beverages and beverage materials, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SAN,Consumer Price Index for All Urban Consumers: Nondurables, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SANL1,Consumer Price Index for All Urban Consumers: Nondurables less food, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SANL13,Consumer Price Index for All Urban Consumers: Nondurables less food and apparel, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SANL11,Consumer Price Index for All Urban Consumers: Nondurables less food and beverages, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SANL113,"Consumer Price Index for All Urban Consumers: Nondurables less food, beverages, and apparel", Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SAF115,Consumer Price Index for All Urban Consumers: Other food at home, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SEFV05,Consumer Price Index for All Urban Consumers: Other food away from home, Index Dec 1997=100, M, SA, 2019-01-11,Pri
CUSR0000SEFT,Consumer Price Index for All Urban Consumers: Other foods, Index 1982-84=100, M, SA, 2019-01-11,Pri
CPIOGSSL,Consumer Price Index for All Urban Consumers: Other Goods and Services, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SAS367,Consumer Price Index for All Urban Consumers: Other services, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SEHC01,Consumer Price Index for All Urban Consumers: Owners' equivalent rent of primary residence, Index Dec 1982=100, M, SA, 2019-01-11,Pri
CUSR0000SEHC,Consumer Price Index for All Urban Consumers: Owners' equivalent rent of residences, Index Dec 1982=100, M, SA, 2019-01-11,Pri
CUSR0000SAG1,Consumer Price Index for All Urban Consumers: Personal care, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SEEE01,Consumer Price Index for All Urban Consumers: Personal computers and peripheral equipment, Index Dec 2007=100, M, SA, 2019-01-11,Pri
CUSR0000SS61031,Consumer Price Index for All Urban Consumers: Pet food, Index Dec 1997=100, M, SA, 2019-01-11,Pri
CUSR0000SAT1,Consumer Price Index for All Urban Consumers: Private transportation, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SEMC,Consumer Price Index for All Urban Consumers: Professional services, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SETG,Consumer Price Index for All Urban Consumers: Public transportation, Index 1982-84=100, M, SA, 2019-01-11,Pri
CPIRECSL,Consumer Price Index for All Urban Consumers: Recreation, Index Dec 1997=100, M, SA, 2019-01-11,Pri
CUSR0000SEHA,Consumer Price Index for All Urban Consumers: Rent of primary residence, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SAS2RS,Consumer Price Index for All Urban Consumers: Rent of shelter, Index Dec 1982=100, M, SA, 2019-01-11,Pri
CUSR0000SAS,Consumer Price Index for All Urban Consumers: Services, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SEMC04,Consumer Price Index for All Urban Consumers: Services by other medical professionals, Index Dec 1986=100, M, SA, 2019-01-11,Pri
CUSR0000SASLE,Consumer Price Index for All Urban Consumers: Services less energy services, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SASL5,Consumer Price Index for All Urban Consumers: Services less medical care services, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SASL2RS,Consumer Price Index for All Urban Consumers: Services less rent of shelter, Index Dec 1982=100, M, SA, 2019-01-11,Pri
CUSR0000SAH1,Consumer Price Index for All Urban Consumers: Shelter, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SEFR,Consumer Price Index for All Urban Consumers: Sugar and sweets, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SEGA,Consumer Price Index for All Urban Consumers: Tobacco and smoking products, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SERE01,Consumer Price Index for All Urban Consumers: Toys, Index 1982-84=100, M, SA, 2019-01-11,Pri
CPITRNSL,Consumer Price Index for All Urban Consumers: Transportation, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SAS4,Consumer Price Index for All Urban Consumers: Transportation services, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SEEB,"Consumer Price Index for All Urban Consumers: Tuition, other school fees, and childcare", Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SETA02,Consumer Price Index for All Urban Consumers: Used cars and trucks, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SERA,Consumer Price Index for All Urban Consumers: Video and audio, Index Dec 1997=100, M, SA, 2019-01-11,Pri
CUSR0000SERAC,Consumer Price Index for All Urban Consumers: Video and audio products, Index Dec 2009=100, M, SA, 2019-01-11,Pri
CUSR0000SEHG,Consumer Price Index for All Urban Consumers: Water and sewer and trash collection services, Index Dec 1997=100, M, SA, 2019-01-11,Pri
CUSR0000SAA2,Consumer Price Index for All Urban Consumers: Women's and girls' apparel, Index 1982-84=100, M, SA, 2019-01-11,Pri
PPIAWS,Producer Price Index by Commodity for Final Demand: Transportation and Warehousing, Index Nov 2009= 100, M, SA, 2018-12-11,Pri
PPIDCS,Producer Price Index by Commodity for Final Demand: Construction, Index Nov 2009 = 100, M, SA, 2018-12-11,Pri
PPIDES,Producer Price Index by Commodity for Final Demand: Energy, Index Nov 2009 = 100, M, SA, 2018-12-11,Pri
PPIDFS,Producer Price Index by Commodity for Final Demand: Foods, Index Nov 2009 = 100, M, SA, 2018-12-11,Pri
PPIDGS,Producer Price Index by Commodity for Final Demand: Goods, Index Nov 2009 = 100, M, SA, 2018-12-11,Pri
PPIDSS,Producer Price Index by Commodity for Final Demand: Services, Index Nov 2009 = 100, M, SA, 2018-12-11,Pri
PPIFES,Producer Price Index by Commodity for Final Demand Less Foods and Energy, Index Apr 2010=100, M, SA, 2018-12-11,Pri
PPIFIS,Producer Price Index by Commodity for Final Demand, Index Nov 2009 = 100, M, SA, 2018-12-11,Pri
PPITSS,Producer Price Index by Commodity for Final Demand: Trade Services, Index Nov 2009 = 100, M, SA, 2018-12-11,Pri
PPITWS,"Producer Price Index by Commodity for Final Demand: Services less Trade, Transportation, and Warehousing", Index Nov 2009= 100, M, SA, 2018-12-11,Pri
